feature,score
total_coupon,9627
days_distance,7978
merchant_mean_distance,6819
total_sales,6696
distance,5974
discount_rate,4956
this_month_user_received_all_coupon_count,4885
sales_use_coupon,4769
discount_man,4715
max_date_received,3830
this_month_user_receive_same_coupon_count,3765
discount_jian,3522
coupon_received,2942
distance_x,2207
min_date_received,2170
user_merchant_coupon_transfer_rate,1860
distance_y,1778
day_of_month,1732
this_day_user_receive_all_coupon_count,1550
this_month_user_receive_same_coupon_lastone,1310
user_merchant_received,1220
user_merchant_buy_use_coupon,1068
count_merchant,1057
this_day_user_receive_same_coupon_count,1051
buy_total,980
buy_use_coupon,973
user_merchant_rate,932
weekday2,924
is_weekend,811
weekday4,743
user_min_dsitance,734
weekday5,717
weekday3,703
weekday1,654
weekday6,653
weekday7,644
this_month_user_receive_same_coupon_firstone,612
user_max_distance,584
merchant_min_distance,545
user_mean_distance,535
user_merchant_any,517
user_merchant_buy_total,421
user_median_distance,351
is_man_jian,299
user_merchant_buy_common,85
merchant_coupon_transfer_rate,51
user_merchant_coupon_buy_rate,31
coupon_rate,27
avg_user_date_datereceived_gap,22
user_merchant_common_buy_rate,18
min_user_date_datereceived_gap,17
buy_use_coupon_rate,5
max_user_date_datereceived_gap,5
user_coupon_transfer_rate,2
